GoodCustomer (label),Sex,Age,Credit,LoanDuration
1.0,1.0,67,1169,6
0.0,0.0,22,5951,48
1.0,1.0,49,2096,12
1.0,1.0,45,7882,42
0.0,1.0,53,4870,24
1.0,1.0,35,9055,36
1.0,1.0,53,2835,24
1.0,1.0,35,6948,36
1.0,1.0,61,3059,12
0.0,1.0,28,5234,30
0.0,0.0,25,1295,12
0.0,0.0,24,4308,48
1.0,0.0,22,1567,12
0.0,1.0,60,1199,24
1.0,0.0,28,1403,15
0.0,0.0,32,1282,24
1.0,1.0,53,2424,24
1.0,1.0,25,8072,30
0.0,0.0,44,12579,24
1.0,1.0,31,3430,24
1.0,1.0,48,2134,9
1.0,1.0,44,2647,6
1.0,1.0,48,2241,10
1.0,1.0,44,1804,12
1.0,1.0,26,2069,10
1.0,1.0,36,1374,6
1.0,1.0,39,426,6
1.0,0.0,42,409,12
1.0,1.0,34,2415,7
0.0,1.0,63,6836,60
1.0,1.0,36,1913,18
1.0,1.0,27,4020,24
1.0,1.0,30,5866,18
1.0,1.0,57,1264,12
1.0,0.0,33,1474,12
0.0,1.0,25,4746,45
1.0,1.0,31,6110,48
0.0,1.0,37,2100,18
1.0,1.0,37,1225,10
1.0,1.0,24,458,9
1.0,1.0,30,2333,30
1.0,1.0,26,1158,12
1.0,1.0,44,6204,18
1.0,1.0,24,6187,30
0.0,0.0,58,6143,48
1.0,0.0,35,1393,11
1.0,1.0,39,2299,36
1.0,0.0,23,1352,6
1.0,1.0,39,7228,11
1.0,0.0,28,2073,12
1.0,1.0,29,2333,24
1.0,1.0,30,5965,27
1.0,1.0,25,1262,12
1.0,1.0,31,3378,18
0.0,1.0,57,2225,36
1.0,1.0,26,783,6
0.0,1.0,52,6468,12
1.0,0.0,31,9566,36
1.0,0.0,23,1961,18
0.0,0.0,23,6229,36
1.0,1.0,27,1391,9
1.0,1.0,50,1537,15
0.0,1.0,61,1953,36
0.0,1.0,25,14421,48
1.0,0.0,26,3181,24
1.0,1.0,48,5190,27
1.0,0.0,29,2171,12
1.0,1.0,22,1007,12
0.0,1.0,37,1819,36
1.0,0.0,25,2394,36
1.0,0.0,30,8133,36
1.0,1.0,46,730,7
1.0,1.0,51,1164,8
1.0,0.0,41,5954,42
0.0,1.0,40,1977,36
1.0,1.0,66,1526,12
0.0,1.0,34,3965,42
1.0,1.0,51,4771,11
1.0,1.0,39,9436,54
1.0,1.0,22,3832,30
0.0,0.0,44,5943,24
1.0,1.0,47,1213,15
1.0,0.0,24,1568,18
1.0,0.0,58,1755,24
1.0,1.0,52,2315,10
1.0,0.0,29,1412,12
1.0,0.0,27,1295,18
0.0,1.0,47,12612,36
1.0,1.0,30,2249,18
0.0,1.0,28,1108,12
1.0,1.0,56,618,12
1.0,1.0,54,1409,12
0.0,0.0,33,797,12
1.0,1.0,20,3617,24
1.0,1.0,54,1318,12
0.0,1.0,58,15945,54
1.0,0.0,61,2012,12
1.0,1.0,34,2622,18
1.0,1.0,36,2337,36
1.0,1.0,36,7057,20
1.0,1.0,41,1469,24
1.0,1.0,24,2323,36
1.0,0.0,24,932,6
1.0,1.0,35,1919,9
1.0,1.0,26,2445,12
0.0,1.0,39,11938,24
0.0,1.0,39,6458,18
1.0,1.0,32,6078,12
1.0,0.0,30,7721,24
1.0,1.0,35,1410,14
1.0,1.0,31,1449,6
1.0,0.0,23,392,15
1.0,1.0,28,6260,18
0.0,0.0,25,7855,36
1.0,1.0,35,1680,12
1.0,1.0,47,3578,48
0.0,0.0,30,7174,42
1.0,0.0,27,2132,10
0.0,0.0,23,4281,33
1.0,1.0,36,2366,12
0.0,0.0,25,1835,21
1.0,0.0,41,3868,24
1.0,1.0,24,1768,12
1.0,1.0,63,781,10
0.0,0.0,27,1924,18
1.0,1.0,30,2121,12
1.0,1.0,40,701,12
0.0,1.0,30,639,12
1.0,1.0,34,1860,12
0.0,0.0,29,3499,12
1.0,0.0,24,8487,48
0.0,1.0,29,6887,36
1.0,1.0,27,2708,15
1.0,1.0,47,1984,18
1.0,0.0,21,10144,60
1.0,0.0,38,1240,12
1.0,1.0,27,8613,27
0.0,1.0,66,766,12
1.0,1.0,35,2728,15
1.0,0.0,44,1881,12
1.0,1.0,27,709,6
1.0,0.0,30,4795,36
1.0,1.0,27,3416,27
0.0,1.0,22,2462,18
1.0,0.0,23,2288,21
1.0,1.0,30,3566,48
1.0,0.0,39,860,6
1.0,0.0,51,682,12
1.0,1.0,28,5371,36
1.0,1.0,46,1582,18
1.0,1.0,42,1346,6
1.0,1.0,38,1924,10
1.0,1.0,24,5848,36
1.0,0.0,29,7758,24
1.0,1.0,36,6967,24
0.0,0.0,20,1282,12
1.0,1.0,48,1288,9
1.0,1.0,45,339,12
1.0,1.0,38,3512,24
1.0,1.0,34,1898,6
1.0,1.0,36,2872,24
1.0,0.0,30,1055,18
1.0,1.0,36,1262,15
1.0,1.0,70,7308,10
1.0,1.0,36,909,36
1.0,1.0,32,2978,6
0.0,0.0,33,1131,18
1.0,0.0,20,1577,11
1.0,0.0,25,3972,24
0.0,1.0,31,1935,24
0.0,1.0,33,950,15
1.0,0.0,26,763,12
0.0,0.0,34,2064,24
1.0,1.0,33,1414,8
0.0,1.0,26,3414,21
0.0,0.0,53,7485,30
1.0,1.0,42,2577,12
1.0,1.0,52,338,6
1.0,1.0,31,1963,12
1.0,1.0,65,571,21
0.0,1.0,28,9572,36
0.0,1.0,30,4455,36
0.0,1.0,40,1647,21
1.0,1.0,50,3777,24
0.0,1.0,36,884,18
1.0,1.0,31,1360,15
0.0,0.0,74,5129,9
1.0,1.0,68,1175,16
0.0,1.0,20,674,12
1.0,0.0,33,3244,18
0.0,1.0,54,4591,24
0.0,1.0,34,3844,48
0.0,1.0,36,3915,27
1.0,1.0,29,2108,6
0.0,1.0,21,3031,45
0.0,0.0,34,1501,9
1.0,0.0,28,1382,6
0.0,0.0,27,951,12
1.0,1.0,36,2760,24
0.0,1.0,40,4297,18
1.0,1.0,52,936,9
1.0,1.0,27,1168,12
1.0,1.0,26,5117,27
0.0,1.0,21,902,12
1.0,1.0,38,1495,12
1.0,1.0,38,10623,30
1.0,1.0,43,1935,12
1.0,1.0,26,1424,12
1.0,1.0,21,6568,24
1.0,1.0,55,1413,12
1.0,1.0,33,3074,9
1.0,0.0,45,3835,36
0.0,1.0,50,5293,27
0.0,1.0,66,1908,30
1.0,1.0,51,3342,36
1.0,0.0,39,932,6
1.0,1.0,31,3104,18
1.0,1.0,23,3913,36
1.0,1.0,24,3021,24
1.0,0.0,64,1364,10
1.0,1.0,26,625,12
1.0,0.0,23,1200,12
1.0,1.0,30,707,12
1.0,1.0,32,2978,24
1.0,1.0,30,4657,15
1.0,1.0,27,2613,36
0.0,1.0,27,10961,48
0.0,1.0,53,7865,12
0.0,1.0,22,1478,9
1.0,1.0,22,3149,24
0.0,1.0,26,4210,36
1.0,1.0,51,2507,9
1.0,1.0,35,2141,12
1.0,1.0,25,866,18
1.0,1.0,42,1544,4
0.0,1.0,30,1823,24
0.0,1.0,23,14555,6
0.0,1.0,61,2767,21
1.0,0.0,35,1291,12
1.0,1.0,39,2522,30
0.0,0.0,29,915,24
1.0,1.0,51,1595,6
0.0,1.0,24,4605,48
1.0,0.0,27,1185,12
1.0,0.0,35,3447,12
1.0,1.0,25,1258,24
1.0,1.0,52,717,12
1.0,1.0,35,1204,6
1.0,1.0,26,1925,24
0.0,0.0,22,433,18
1.0,0.0,39,666,6
1.0,0.0,46,2251,12
0.0,0.0,24,2150,30
1.0,1.0,35,4151,24
1.0,1.0,24,2030,9
1.0,1.0,27,7418,60
1.0,1.0,35,2684,24
0.0,1.0,29,2149,12
1.0,0.0,23,3812,15
1.0,0.0,57,1154,11
1.0,1.0,27,1657,12
1.0,0.0,55,1603,24
1.0,1.0,36,5302,18
1.0,0.0,57,2748,12
1.0,1.0,32,1231,10
0.0,1.0,37,802,15
1.0,1.0,36,6304,36
1.0,0.0,38,1533,24
0.0,1.0,45,8978,14
1.0,1.0,25,999,24
1.0,1.0,32,2662,18
1.0,0.0,37,1402,12
1.0,1.0,36,12169,48
0.0,1.0,28,3060,48
0.0,1.0,34,11998,30
1.0,1.0,32,2697,9
1.0,0.0,26,2404,18
1.0,1.0,49,1262,12
0.0,0.0,32,4611,6
1.0,1.0,29,1901,24
1.0,1.0,23,3368,15
1.0,1.0,50,1574,12
1.0,1.0,49,1445,18
1.0,1.0,63,1520,15
1.0,1.0,37,3878,24
1.0,0.0,35,10722,47
1.0,1.0,26,4788,48
1.0,1.0,31,7582,48
1.0,0.0,49,1092,12
0.0,1.0,48,1024,24
1.0,1.0,26,1076,12
0.0,1.0,28,9398,36
1.0,0.0,44,6419,24
1.0,1.0,56,4796,42
1.0,1.0,46,7629,48
0.0,0.0,26,9960,48
1.0,0.0,20,4675,12
1.0,1.0,45,1287,10
1.0,1.0,43,2515,18
1.0,1.0,32,2745,21
1.0,0.0,54,672,6
0.0,0.0,42,3804,36
0.0,1.0,37,1344,24
1.0,1.0,49,1038,10
0.0,1.0,44,10127,48
1.0,1.0,33,1543,6
1.0,0.0,24,4811,30
0.0,1.0,33,727,12
0.0,0.0,24,1237,8
1.0,1.0,22,276,9
1.0,1.0,40,5381,48
1.0,1.0,25,5511,24
1.0,0.0,26,3749,24
0.0,1.0,25,685,12
1.0,1.0,29,1494,4
0.0,1.0,31,2746,36
1.0,1.0,38,708,12
1.0,0.0,48,4351,24
1.0,1.0,32,701,12
1.0,0.0,27,3643,15
0.0,1.0,28,4249,30
0.0,1.0,32,1938,24
1.0,1.0,34,2910,24
1.0,1.0,28,2659,18
1.0,0.0,36,1028,18
1.0,1.0,39,3398,8
1.0,1.0,49,5801,12
1.0,0.0,34,1525,24
1.0,1.0,31,4473,36
1.0,1.0,28,1068,6
1.0,1.0,75,6615,24
0.0,0.0,30,1864,18
0.0,0.0,24,7408,60
0.0,0.0,24,11590,48
0.0,1.0,23,4110,24
0.0,1.0,44,3384,6
1.0,0.0,23,2101,13
0.0,0.0,24,1275,15
1.0,1.0,28,4169,24
1.0,1.0,31,1521,10
1.0,0.0,24,5743,24
1.0,0.0,26,3599,21
1.0,1.0,25,3213,18
1.0,1.0,33,4439,18
1.0,1.0,37,3949,10
1.0,0.0,43,1459,15
1.0,1.0,23,882,13
1.0,0.0,23,3758,24
1.0,1.0,34,1743,6
0.0,1.0,32,1136,9
1.0,0.0,23,1236,9
0.0,0.0,29,959,9
1.0,1.0,38,3229,18
0.0,1.0,28,6199,12
1.0,1.0,46,727,10
0.0,1.0,23,1246,24
1.0,1.0,49,2331,12
0.0,1.0,26,4463,36
1.0,1.0,28,776,12
0.0,0.0,23,2406,30
1.0,1.0,61,1239,18
1.0,1.0,37,3399,12
1.0,0.0,36,2247,12
1.0,1.0,21,1766,6
0.0,1.0,25,2473,18
1.0,1.0,36,1542,12
1.0,1.0,27,3850,18
1.0,0.0,22,3650,18
0.0,1.0,42,3446,36
1.0,0.0,40,3001,18
1.0,1.0,36,3079,36
1.0,1.0,33,6070,18
1.0,0.0,23,2146,10
1.0,1.0,63,13756,60
0.0,0.0,60,14782,60
0.0,0.0,37,7685,48
1.0,1.0,34,2320,18
1.0,1.0,36,846,7
0.0,1.0,57,14318,36
1.0,0.0,52,362,6
1.0,1.0,39,2212,20
0.0,0.0,38,12976,18
1.0,0.0,25,1283,22
1.0,1.0,26,1330,12
1.0,1.0,26,4272,30
1.0,0.0,25,2238,18
1.0,0.0,21,1126,18
1.0,1.0,40,7374,18
1.0,1.0,27,2326,15
1.0,0.0,27,1449,9
1.0,1.0,30,1820,18
1.0,0.0,19,983,12
1.0,1.0,39,3249,36
1.0,0.0,31,1957,6
1.0,1.0,31,2406,9
1.0,1.0,32,11760,39
1.0,0.0,55,2578,12
1.0,1.0,46,2348,36
0.0,1.0,46,1223,12
1.0,0.0,43,1516,24
1.0,1.0,39,1473,18
1.0,1.0,28,1887,18
0.0,1.0,27,8648,24
1.0,1.0,27,802,14
1.0,1.0,43,2899,18
0.0,1.0,22,2039,24
1.0,1.0,43,2197,24
1.0,1.0,27,1053,15
1.0,1.0,26,3235,24
0.0,1.0,28,939,12
1.0,0.0,20,1967,24
1.0,1.0,35,7253,33
0.0,1.0,42,2292,12
1.0,1.0,40,1597,10
0.0,0.0,35,1381,24
1.0,1.0,35,5842,36
0.0,1.0,33,2579,12
1.0,0.0,23,8471,18
1.0,0.0,31,2782,21
0.0,0.0,33,1042,18
1.0,0.0,20,3186,15
1.0,1.0,30,2028,12
1.0,1.0,47,958,12
1.0,1.0,34,1591,21
0.0,0.0,25,2762,12
1.0,1.0,21,2779,18
1.0,1.0,29,2743,28
1.0,1.0,46,1149,18
1.0,1.0,20,1313,9
0.0,0.0,55,1190,18
1.0,1.0,74,3448,5
0.0,1.0,29,11328,24
1.0,1.0,36,1872,6
1.0,1.0,33,2058,24
1.0,1.0,25,2136,9
0.0,1.0,25,1484,12
1.0,1.0,23,660,6
1.0,0.0,37,1287,24
1.0,1.0,65,3394,42
0.0,0.0,26,609,12
1.0,1.0,39,1884,12
1.0,0.0,30,1620,12
1.0,1.0,29,2629,20
0.0,1.0,41,719,12
0.0,0.0,30,5096,48
1.0,0.0,41,1244,9
0.0,0.0,34,1842,36
1.0,1.0,35,2576,7
1.0,0.0,55,1424,12
0.0,1.0,61,1512,15
1.0,1.0,30,11054,36
1.0,0.0,29,518,6
1.0,1.0,34,2759,12
1.0,1.0,35,2670,24
0.0,1.0,31,4817,24
1.0,0.0,29,2679,24
1.0,1.0,36,3905,11
0.0,1.0,35,3386,12
1.0,0.0,27,343,6
1.0,1.0,32,4594,18
1.0,1.0,37,3620,36
1.0,1.0,36,1721,15
1.0,0.0,34,3017,12
1.0,1.0,38,754,12
1.0,1.0,34,1950,18
1.0,1.0,63,2924,24
0.0,0.0,29,1659,24
1.0,1.0,32,7238,48
1.0,0.0,26,2764,33
1.0,1.0,35,4679,24
0.0,1.0,22,3092,24
0.0,0.0,23,448,6
0.0,1.0,28,654,9
1.0,1.0,36,1238,6
0.0,1.0,33,1245,18
0.0,0.0,26,3114,18
1.0,1.0,24,2569,39
1.0,1.0,25,5152,24
1.0,1.0,39,1037,12
1.0,1.0,44,1478,15
1.0,0.0,23,3573,12
1.0,1.0,26,1201,24
1.0,0.0,57,3622,30
1.0,0.0,30,960,15
1.0,1.0,44,1163,12
0.0,1.0,47,1209,6
1.0,1.0,52,3077,12
1.0,0.0,62,3757,24
1.0,1.0,35,1418,10
1.0,1.0,26,3518,6
1.0,1.0,26,1934,12
0.0,0.0,42,8318,27
1.0,0.0,27,1237,6
1.0,1.0,38,368,6
1.0,1.0,39,2122,12
0.0,1.0,20,2996,24
0.0,1.0,29,9034,36
1.0,1.0,40,1585,24
1.0,1.0,32,1301,18
