GoodCustomer,Credit,Gender,ForeignWorker,Single,Age,LoanDuration,PurposeOfLoan,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,CheckingAccountBalance_geq_0,CheckingAccountBalance_geq_200,SavingsAccountBalance_geq_100,SavingsAccountBalance_geq_500,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,YearsAtCurrentJob_lt_1,YearsAtCurrentJob_geq_4,JobClassIsSkilled
1,1169,Male,0,1,67,6,Electronics,1169,4,4,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
-1,5951,Female,0,0,22,48,Electronics,5951,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,2096,Male,0,1,49,12,Education,2096,2,3,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,7882,Male,0,1,45,42,Furniture,7882,2,4,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
-1,4870,Male,0,1,53,24,NewCar,4870,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9055,Male,0,1,35,36,Education,9055,2,4,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2835,Male,0,1,53,24,Furniture,2835,3,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1,6948,Male,0,1,35,36,UsedCar,6948,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,3059,Male,0,0,61,12,Electronics,3059,2,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
-1,5234,Male,0,0,28,30,NewCar,5234,4,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
-1,1295,Female,0,0,25,12,NewCar,1295,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
-1,4308,Female,0,0,24,48,Business,4308,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1,1567,Female,0,0,22,12,Electronics,1567,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,1199,Male,0,1,60,24,NewCar,1199,4,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,1403,Female,0,0,28,15,NewCar,1403,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
-1,1282,Female,0,0,32,24,Electronics,1282,4,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,2424,Male,0,1,53,24,Electronics,2424,4,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,8072,Male,0,1,25,30,Business,8072,2,3,3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
-1,12579,Female,0,0,44,24,UsedCar,12579,4,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,3430,Male,0,1,31,24,Electronics,3430,3,2,1,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1,2134,Male,0,1,48,9,NewCar,2134,4,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,2647,Male,0,1,44,6,Electronics,2647,2,3,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1,2241,Male,1,1,48,10,NewCar,2241,1,3,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
1,1804,Male,0,1,44,12,UsedCar,1804,3,4,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1
1,2069,Male,1,0,26,10,Furniture,2069,2,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,1374,Male,0,1,36,6,Furniture,1374,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,426,Male,0,0,39,6,Electronics,426,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,409,Female,0,0,42,12,Electronics,409,3,3,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
1,2415,Male,0,1,34,7,Electronics,2415,3,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
-1,6836,Male,0,1,63,60,Business,6836,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,1913,Male,0,0,36,18,Business,1913,3,3,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1
1,4020,Male,0,1,27,24,Furniture,4020,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,5866,Male,0,1,30,18,NewCar,5866,2,2,2,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1264,Male,0,1,57,12,Business,1264,4,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
1,1474,Female,0,0,33,12,Furniture,1474,4,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
-1,4746,Male,0,1,25,45,Electronics,4746,4,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1,6110,Male,0,1,31,48,Education,6110,1,3,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
-1,2100,Male,0,1,37,18,Electronics,2100,4,2,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,1225,Male,0,1,37,10,HomeAppliances,1225,2,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,458,Male,0,1,24,9,Electronics,458,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,2333,Male,0,1,30,30,Electronics,2333,4,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
1,1158,Male,0,0,26,12,Electronics,1158,3,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
1,6204,Male,0,1,44,18,Repairs,6204,2,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,6187,Male,0,0,24,30,UsedCar,6187,1,4,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1
-1,6143,Female,0,0,58,48,UsedCar,6143,4,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,1393,Female,0,0,35,11,NewCar,1393,4,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
1,2299,Male,0,1,39,36,Electronics,2299,4,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1,1352,Female,0,0,23,6,UsedCar,1352,1,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
1,7228,Male,0,1,39,11,NewCar,7228,1,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,2073,Female,0,0,28,12,Electronics,2073,4,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,2333,Male,0,1,29,24,Furniture,2333,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,5965,Male,0,1,30,27,UsedCar,5965,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,1262,Male,0,1,25,12,Electronics,1262,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,3378,Male,0,1,31,18,UsedCar,3378,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,2225,Male,0,1,57,36,NewCar,2225,4,4,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,783,Male,0,1,26,6,NewCar,783,1,2,1,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
-1,6468,Male,0,1,52,12,Electronics,6468,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,9566,Female,0,0,31,36,Electronics,9566,2,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,1961,Female,0,0,23,18,NewCar,1961,3,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,6229,Female,0,0,23,36,Furniture,6229,4,4,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1,1391,Male,0,0,27,9,Business,1391,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1,1537,Male,0,1,50,15,Electronics,1537,4,4,2,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
-1,1953,Male,0,1,61,36,Business,1953,4,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
-1,14421,Male,0,1,25,48,Business,14421,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,3181,Female,0,0,26,24,Electronics,3181,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,5190,Male,0,1,48,27,Repairs,5190,4,4,4,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,2171,Female,0,0,29,12,Electronics,2171,2,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
1,1007,Male,0,0,22,12,NewCar,1007,4,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,1819,Male,0,1,37,36,Education,1819,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,2394,Female,0,0,25,36,Electronics,2394,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,8133,Female,0,0,30,36,UsedCar,8133,1,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1,730,Male,0,1,46,7,Electronics,730,4,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
1,1164,Male,0,1,51,8,Other,1164,3,4,2,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
1,5954,Female,0,0,41,42,Business,5954,2,1,2,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
-1,1977,Male,0,1,40,36,Education,1977,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,1526,Male,0,1,66,12,UsedCar,1526,4,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
-1,3965,Male,0,1,34,42,Electronics,3965,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,4771,Male,0,1,51,11,Electronics,4771,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,9436,Male,0,1,39,54,UsedCar,9436,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,3832,Male,0,0,22,30,Furniture,3832,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
-1,5943,Female,0,0,44,24,Electronics,5943,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,1213,Male,0,1,47,15,Electronics,1213,4,3,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1,1568,Female,0,0,24,18,Business,1568,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1755,Female,0,0,58,24,Other,1755,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
1,2315,Male,0,1,52,10,Electronics,2315,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1412,Female,0,0,29,12,Business,1412,4,2,2,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1,1295,Female,0,0,27,18,Furniture,1295,4,1,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
-1,12612,Male,0,1,47,36,Education,12612,1,4,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,2249,Male,0,1,30,18,NewCar,2249,4,3,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,1108,Male,0,1,28,12,Repairs,1108,4,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,618,Male,0,1,56,12,Electronics,618,4,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,1409,Male,0,1,54,12,UsedCar,1409,4,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
-1,797,Female,0,0,33,12,Electronics,797,4,3,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
1,3617,Male,0,1,20,24,Furniture,3617,4,4,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1
1,1318,Male,0,1,54,12,NewCar,1318,4,4,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,15945,Male,0,1,58,54,Business,15945,3,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1,2012,Female,0,0,61,12,Education,2012,4,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,2622,Male,0,1,34,18,Business,2622,4,4,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,2337,Male,0,1,36,36,Electronics,2337,4,4,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,7057,Male,0,1,36,20,UsedCar,7057,3,4,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
1,1469,Male,0,0,41,24,NewCar,1469,4,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,2323,Male,0,1,24,36,Electronics,2323,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1,932,Female,0,0,24,6,Electronics,932,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1919,Male,0,1,35,9,Furniture,1919,4,3,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
1,2445,Male,0,0,26,12,UsedCar,2445,2,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
-1,11938,Male,0,1,39,24,Other,11938,2,3,2,2,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
-1,6458,Male,0,1,39,18,NewCar,6458,2,4,2,2,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
1,6078,Male,0,1,32,12,NewCar,6078,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,7721,Female,1,0,30,24,Furniture,7721,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,1410,Male,0,0,35,14,Business,1410,1,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1,1449,Male,0,0,31,6,Business,1449,1,2,2,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
1,392,Female,0,0,23,15,Education,392,4,4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1,6260,Male,0,1,28,18,NewCar,6260,3,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
-1,7855,Female,0,0,25,36,NewCar,7855,4,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,1680,Male,0,0,35,12,Electronics,1680,3,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1,3578,Male,0,1,47,48,Electronics,3578,4,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
-1,7174,Female,0,0,30,42,Electronics,7174,4,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,2132,Female,1,0,27,10,Furniture,2132,2,3,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
-1,4281,Female,0,0,23,33,Furniture,4281,1,4,2,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1
1,2366,Male,0,0,36,12,NewCar,2366,3,3,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1
-1,1835,Female,0,0,25,21,Electronics,1835,3,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,3868,Female,0,0,41,24,UsedCar,3868,4,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
1,1768,Male,0,1,24,12,Furniture,1768,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,781,Male,0,1,63,10,NewCar,781,4,4,2,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
-1,1924,Female,0,0,27,18,Furniture,1924,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1,2121,Male,0,1,30,12,NewCar,2121,4,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,701,Male,0,0,40,12,Electronics,701,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-1,639,Male,0,1,30,12,Repairs,639,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1860,Male,0,1,34,12,UsedCar,1860,4,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
-1,3499,Female,0,0,29,12,NewCar,3499,3,2,2,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
1,8487,Female,0,0,24,48,NewCar,8487,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
-1,6887,Male,0,1,29,36,Education,6887,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,2708,Male,0,1,27,15,Furniture,2708,2,3,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1,1984,Male,0,1,47,18,Furniture,1984,4,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,10144,Female,0,0,21,60,Electronics,10144,2,4,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,1240,Female,0,0,38,12,Electronics,1240,4,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,8613,Male,0,1,27,27,UsedCar,8613,2,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
-1,766,Male,0,1,66,12,Electronics,766,4,3,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1,2728,Male,0,1,35,15,Electronics,2728,4,2,3,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1
1,1881,Female,0,0,44,12,Electronics,1881,2,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,709,Male,1,0,27,6,NewCar,709,2,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
1,4795,Female,0,0,30,36,Electronics,4795,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,3416,Male,0,1,27,27,Electronics,3416,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,2462,Male,0,1,22,18,Furniture,2462,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,2288,Female,0,0,23,21,Furniture,2288,4,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
1,3566,Male,0,1,30,48,Business,3566,4,2,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1
1,860,Female,0,0,39,6,NewCar,860,1,4,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,682,Female,0,0,51,12,NewCar,682,4,3,2,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,5371,Male,0,1,28,36,Furniture,5371,3,2,2,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1,1582,Male,0,1,46,18,Electronics,1582,4,4,2,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1
1,1346,Male,0,1,42,6,Electronics,1346,2,4,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
1,1924,Male,1,1,38,10,Electronics,1924,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,5848,Male,0,1,24,36,Electronics,5848,4,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,7758,Female,0,0,29,24,UsedCar,7758,2,4,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1
1,6967,Male,0,1,36,24,Business,6967,4,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
-1,1282,Female,0,0,20,12,Furniture,1282,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,1288,Male,1,1,48,9,Repairs,1288,3,4,2,2,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1
1,339,Male,0,0,45,12,Retraining,339,4,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
1,3512,Male,0,1,38,24,NewCar,3512,2,3,2,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1
1,1898,Male,0,1,34,6,Electronics,1898,1,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
